street,arrondissement,from_url
Rue Vauvilliers,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Villedo,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Vivienne,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Édouard-Colonne,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Étienne-Marcel,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Terrasse Lautréamont,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Voie A/1,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Voie Georges-Pompidou,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Allée Pierre-Lazareff,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Avenue de l'Opéra,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Boulevard de Bonne-Nouvelle,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Boulevard de Sébastopol,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Boulevard des Capucines,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Boulevard des Italiens,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Boulevard Montmartre,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Boulevard Poissonnière,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Boulevard Saint-Denis,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Cité Beaurepaire,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Cité Montmartre,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Cour du Roi-François,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Cour Greneta,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
Galerie Colbert,2,https://fr.wikipedia.org/wiki/Liste_des_voies_du_2e_arrondissement_de_Paris
